visual,time
1,2.9547098859998187
1,2.386837332000141
1,1.1683834139998908
1,1.492842632999782
1,2.7056195629993454
1,1.3757062410004437
1,1.5791877309993652
1,2.0429132810004376
1,1.3350423060001049
1,1.9295194229998742
1,1.91444044400032
1,1.1451318279996485
1,1.2979875189994345
1,1.8495314510000753
1,1.4763024849999056
1,0.9072877030002928
1,1.7741349150001042
1,1.8900673210000605
1,2.0971138610002527
1,2.11933726999996
1,1.8250034249995224
1,1.2003396159998374
1,1.8820792469996377
1,1.9170446689995515
1,1.4693426989997533
1,1.332606166000005
1,1.249027990000286
1,1.8674274989998594
1,2.0199461419997533
1,1.9013948370002254
1,1.6138236549995781
1,1.7921816419993775
1,1.795860807000281
1,1.1595877429999746
1,1.5066901419995702
1,2.7584932219997427
1,3.4848169119995873
1,2.081985752000037
1,2.5276721370000814
1,1.7345753600002354
1,2.061392493999847
1,2.55579639699954
1,1.0100545699997383
1,1.5169796019999922
1,1.7448063250003543
1,1.2405506959994455
1,0.8663313110000672
1,1.2535925709998992
1,2.4245133750000605
1,1.3841184010007055
1,1.9404184530003477
1,1.9824809669999013
1,1.2493681240002843
1,1.7072159729996201
1,2.068265887999587
1,1.9240579019997313
1,1.4537129569998797
1,1.2290599110001494
1,2.228132352999637
1,1.534017605000372
1,1.500520726999639
1,1.9493677959999332
1,1.5384675699997388
1,2.6546694090002347
1,1.694789516000128
1,3.360472794999623
1,1.5678821349993086
1,2.1116678400003366
1,2.587935692999963
0,0.4807145889999447
0,0.4765582039999572
0,0.4758334060006746
0,0.47788459899948066
0,0.4694276029995308
0,0.5064468229993508
0,0.5069109880005271
0,0.5023785940002199
0,0.5811503209997682
0,0.4616887519996453
0,0.5029032000002189
0,0.4579865489995427
0,0.5881973929999731
0,0.5416606340004364
0,0.5832832269998107
0,0.5004406850002852
0,0.49914535399966553
0,0.5036618570002247
0,0.503180326999427
0,0.5019475949993648
0,0.5010240609999528
0,0.5092459260004034
0,0.4188472489995547
0,0.5437946100000772
0,0.5029829349996362
0,0.5056942370001707
0,0.5428353750003225
0,0.5370771509997212
0,0.48312920500029577
0,0.5366486109996913
0,0.483070577000035
0,0.5361960599993836
0,0.5392653859998973
0,0.5438721299997269
0,0.48649467499944876
0,0.48827808300029574
0,0.538783288000559
0,0.5406536700002107
0,0.4862635009994847
0,0.48602160599966737
0,0.5436625960001038
0,0.540070390999972
0,0.5418059109997557
0,0.5443382149996978
0,0.4129495120005231
0,0.4098792759996286
0,0.582072963000428
0,0.625924988999941
0,0.7024136300005921
0,0.6697535410003184
0,0.6722575089997918
0,0.5502521159996832
0,0.5452652740004851
0,0.5493734860001496
0,0.5777294339995933
0,0.5401566320006168
0,0.4776669860002585
0,0.42275043399968126
0,0.4651745490000394
0,0.4793822450001244
0,0.36802399000043806
0,0.5369671830003426
0,0.4989370150005925
0,0.5009355410002172
0,0.5096759419993759
0,0.5420552559999123
0,0.5358686400004444
0,0.5254494789996897
